Класс,Предмет,Количество учеников
5,Математика,647
6,Математика,327
7,Алгебра,290
7,Геометрия,126
7,ТВИС,1
8,Геометрия,155
8,Алгебра,176
8,ТВИС,1
9,Алгебра,115
9,Геометрия,76
10,Алгебра,98
10,ТВИС,4
10,Геометрия,77
11,Алгебра,164
11,Геометрия,83
