Класс,Предмет,Количество учеников
5,Математика,259
6,Математика,118
7,Алгебра,123
7,Геометрия,39
8,Геометрия,18
8,Алгебра,52
9,Алгебра,22
9,Геометрия,4
10,Алгебра,30
10,Геометрия,17
11,Алгебра,38
11,Геометрия,14
11,ТВИС,1
