Класс,Предмет,Количество учеников
5,Математика,523
6,Математика,346
7,Алгебра,230
7,Геометрия,134
7,ТВИС,42
8,Алгебра,161
8,Геометрия,72
8,ТВИС,15
9,Геометрия,41
9,Алгебра,104
10,Алгебра,93
10,ТВИС,26
10,Геометрия,81
11,Геометрия,45
11,Алгебра,108
11,ТВИС,9
