Класс,Предмет,Количество учеников
5,Математика,425
6,Математика,188
7,Алгебра,208
7,ТВИС,2
7,Геометрия,82
8,Алгебра,207
8,Геометрия,6
9,Алгебра,91
9,Геометрия,3
10,Алгебра,76
10,ТВИС,1
10,Геометрия,5
11,Алгебра,78
11,Геометрия,8
