dialog_grade,canonical_topic,frequency
5,"<a class=""b-href external-link"" href=""Https://max.ru/joincall/v9SohquW33H_5YEr4o8P4BrUSLStB65uEh-9pe9MOsM"" title=""Https://max.ru/joincall/v9SohquW33H_5YEr4o8P4BrUSLStB65uEh-9pe9MOsM"" target=""_blank"">Https://max.ru/joincall/v9SohquW3...</a> урок по расписанию",1
6,"Дистанционный урок.Подобные слагаемые  <a class=""b-href external-link"" href=""Https://max.ru/joincall/bLpudoh7soCvWBLjwZ6S0KTMbOXU1yAPk5NmPHUyQ8U"" title=""Https://max.ru/joincall/bLpudoh7soCvWBLjwZ6S0KTMbOXU1yAPk5NmPHUyQ8U"" target=""_blank"">Https://max.ru/joincall/bLpudoh7s...</a>",1
6,"Решение текстовых задач.<br />
Урок в 14.10ч по ссылке<br />
<a class=""b-href external-link"" href=""https://max.ru/joincall/_vsS1_sB9oaKDLlwSYTd4UxhOl3nZhwC6UcmCz1kPo4"" title=""https://max.ru/joincall/_vsS1_sB9oaKDLlwSYTd4UxhOl3nZhwC6UcmCz1kPo4"" target=""_blank"">https://max.ru/joincall/_vsS1_sB9...</a>",1
9,"Задание № 16 ОГэ<br />
Урок будет в зуме<br />
<a class=""b-href external-link"" href=""https://us05web.zoom.us/j/8151857016"" title=""https://us05web.zoom.us/j/8151857016"" target=""_blank"">https://us05web.zoom.us/j/8151857016</a> (Passcode: 244824)",1
